id,label
1,Arthur Bettesworth
2,A. Bettesworth and C. Hitch
3,A. Dodd
4,A. Millar
5,A. Moor
6,A. Wilde
7,Aaron Ward
9,B. Creake
10,Bernard Lintot
11,Benjamin Motte
12,B. S.
13,B. Sprint
17,Charles Davis
18,Charles King
22,Charles Rivington
23,Christian Bowyer
24,Company of Stationers
25,D. Browne
27,D. Midwinter and A. Ward
28,David Lyon
30,E. Lynn
31,E. Nutt
32,E. Symon
33,Edmund Parker
34,Francis Clay
35,Francis Cogan
36,Fletcher Gyles
39,Francis Fayram
40,G. Strahan
41,William Bowyer
42,"William Bowyer, sen. & jun."
43,William Thurlbourn
45,H. Cooke
46,J. Batley
47,J. Bettenham
48,J. Clarke
50,John Darby
51,J. Hooke
52,J. Noon
53,J. Osborn and T. Longman
55,J. Peele
56,J. Roberts
57,J. Senex
58,J. Smith
59,J. Stagg
60,J. Tonson
61,J. Walthoe Jun.
62,J. Walthoe Sen.
63,J. and J. Bonwicke
64,J. and J. Knapton
66,Jean Pierre Coderc
67,Jeremiah Batley
68,John Brindley
72,John Pemberton
73,Lawton Gilliver
75,R. Clements
76,Robert Gosling
77,R. Hett
78,Robert Knaplock
79,R. Robinson
80,R. Vincent Sen.
81,Richard Williamson
85,S. Austen
86,Samuel Ballard
87,S. Buckley
88,S. Noble
89,S.C.
91,Samuel Birt
92,T. Cox
93,Thomas Osborne
94,T. Saunders
95,T. Warner
96,T. Woodward
97,T. Worrall
98,T. Wotton
101,W. Battersby
102,W. Botham
104,W. Innys
105,W. Mears
108,Weaver Bickerton
110,"William Bowyer, Jun."
111,executors of H. Rhodes
